latitude,longitude,site,landcover
-24.494733978179866,32.954611776267555,Chokwe,Cropland irrigated 2
-24.492775555996303,32.898373018070416,Chokwe,Cropland irrigated 2
-24.491721433181322,32.89891685307286,Chokwe,Cropland irrigated 2
-24.49062246800863,32.899612485910986,Chokwe,Cropland irrigated 2
-24.48963989542255,32.90016599322156,Chokwe,Cropland irrigated 2
-24.488785815555193,32.89935113182403,Chokwe,Cropland irrigated 2
-18.104620055971967,33.15407810506887,Catandica,Cropland irrigated 2
-18.19664576338441,33.20361440595126,Catandica,Cropland irrigated 2
-18.209970839477055,33.25381806679089,,Cropland irrigated 2
-18.937262399426977,33.10813711850149,Manica,Cropland irrigated 2
-18.92580326153314,33.10942937943778,Manica,Cropland irrigated 2
-18.93354369694542,33.123179083934275,Manica,Cropland irrigated 2
-18.93234156961287,33.12485385143138,Manica,Cropland irrigated 2
-18.919788418870876,33.132131725714544,Manica,Cropland irrigated 2
-18.918402921534028,33.13317078789623,Manica,Cropland irrigated 2
-18.916338812163307,33.132302800718264,Manica,Cropland irrigated 2
-18.91627600500822,33.120526826164905,Manica,Cropland irrigated 2
-18.963072081063345,33.26097306276479,Manica,Cropland irrigated 2
-18.9572893701565,33.19183582803048,Manica,Cropland irrigated 2
-19.011448777156033,33.150038797574304,Manica,Cropland irrigated 2
-19.012289200459445,33.14952601445441,Manica,Cropland irrigated 2
-24.417254251915576,33.153009371796976,,Cropland irrigated 2
-24.441310240039698,32.93511223729291,Chokwe,Cropland irrigated 2
-24.4370290570641,32.93550649959196,Chokwe,Cropland irrigated 2
-24.488876919217326,32.896678681312736,Chokwe,Cropland irrigated 2
-24.471963856953398,32.93591495002395,Chokwe,Cropland irrigated 2
-24.476000663964776,32.940940392470715,Chokwe,Cropland irrigated 2
-24.482630948468827,32.941232718198286,Chokwe,Cropland irrigated 2
-24.48705942877364,32.94270172949061,Chokwe,Cropland irrigated 2
-24.486298939673894,32.942000461737614,Chokwe,Cropland irrigated 2
-24.543078078634217,33.12435183407841,Chokwe,Cropland irrigated 2
-24.540580599363523,33.12155985303238,Chokwe,Cropland irrigated 2
-24.539892996248586,33.12230875335369,Chokwe,Cropland irrigated 2
-24.53997108270963,33.12076967075664,Chokwe,Cropland irrigated 2
-24.5415132064583,33.12208268384492,Chokwe,Cropland irrigated 2
-24.564960338972025,33.06546794548038,Chokwe,Cropland irrigated 2
-24.565300899304052,33.06376283411348,Chokwe,Cropland irrigated 2
-24.56592714995321,33.06283208044488,Chokwe,Cropland irrigated 2
-24.566201160902654,33.06175693596795,Chokwe,Cropland irrigated 2
-24.566650970080023,33.060597121824905,Chokwe,Cropland irrigated 2
-24.56808975999122,33.06085718805803,Chokwe,Cropland irrigated 2
-24.570617717583723,33.061059608809444,Chokwe,Cropland irrigated 2
-24.57282204917194,33.06190386597278,Chokwe,Cropland irrigated 2
-24.579120979714972,33.06345048511327,Chokwe,Cropland irrigated 2
-24.57968623758962,33.06444263733645,Chokwe,Cropland irrigated 2
-24.581154224662146,33.0622901516121,Chokwe,Cropland irrigated 2
-24.583764932797298,33.0656929407492,Chokwe,Cropland irrigated 2
-24.583615260302054,33.0665816645903,Chokwe,Cropland irrigated 2
-24.583109150563253,33.068748166602504,Chokwe,Cropland irrigated 2
-24.58323931274832,33.06967262174585,Chokwe,Cropland irrigated 2
-24.57704824871386,33.069723935233895,Chokwe,Cropland irrigated 2
-24.57746493851809,33.07174493615926,Chokwe,Cropland irrigated 2
-24.574514564307837,33.07341821577047,Chokwe,Cropland irrigated 2
-24.571121913546058,33.07163095708598,Chokwe,Cropland irrigated 2
-24.56745788725781,33.07094917974903,Chokwe,Cropland irrigated 2
-24.56529309264105,33.07061103169724,Chokwe,Cropland irrigated 2
-24.56418593217987,33.0704065281174,Chokwe,Cropland irrigated 2
-24.603107843561027,33.04482005796132,Chokwe,Cropland irrigated 2
-24.60320709919643,33.0396802770568,Chokwe,Cropland irrigated 2
-24.603398750019384,33.036437300096665,Chokwe,Cropland irrigated 2
-24.605534178732253,33.03823706049622,Chokwe,Cropland irrigated 2
-24.617079798975613,33.03489649047953,Chokwe,Cropland irrigated 2
-24.618002017088,33.040119012771555,Chokwe,Cropland irrigated 2
-24.614097390193194,33.04329875518836,Chokwe,Cropland irrigated 2
-24.60991874513424,33.04445566589491,Chokwe,Cropland irrigated 2
-24.555217190199215,32.82862184193989,Chokwe,Light vegetation
-24.555988796680147,32.820724645372664,Chokwe,Light vegetation
-24.370665142939384,33.041246455566,Chokwe,Light vegetation
-17.960421866477112,33.05853940271004,Catandica,Light vegetation
-17.957246091053616,33.063675209588666,Catandica,Light vegetation
-17.96376405097091,33.242329714642906,Catandica,Light vegetation
-17.95976380488568,33.234095717783774,Catandica,Light vegetation
-17.94927585383267,33.21093350194345,Catandica,Light vegetation
-17.94166131904406,33.195265255610174,Catandica,Light vegetation
-18.058856704283787,33.3272339699007,Catandica,Light vegetation
